country,threshold,area_Mha
Afghanistan,10,0.4273046467966062
Afghanistan,20,0.2876565348574036
Afghanistan,30,0.2396366953683419
Afghanistan,40,0.1919612607382973
Afghanistan,50,0.1467591339859152
Albania,10,0.8515930154907698
Albania,20,0.7611004456546243
Albania,30,0.6529092441807116
Albania,40,0.5934204441450519
Albania,50,0.5373822825876876
Algeria,10,1.714722157987719
Algeria,20,1.4398615749623307
Algeria,30,1.2552056857575211
Algeria,40,1.1304150692137194
Algeria,50,0.8996510089250517
Andorra,10,0.0208315405835969
Andorra,20,0.0198687288111269
Andorra,30,0.0190711451611527
Andorra,40,0.0183898493803496
Andorra,50,0.0169039259161071
Angola,10,97.01306719950075
Angola,20,72.70029935900743
Angola,30,55.29528891348889
Angola,40,46.64943571427124
Angola,50,31.9477566842792
Antigua & Barbuda,10,0.0210149942690483
Antigua & Barbuda,20,0.020051984069902
Antigua & Barbuda,30,0.0191981712293265
Antigua & Barbuda,40,0.0181850873640111
Antigua & Barbuda,50,0.017128657370137
Argentina,10,43.526131903287656
Argentina,20,41.64014311864562
Argentina,30,39.19875243953757
Argentina,40,35.534607184966134
Argentina,50,23.15532289191849
Armenia,10,0.3904352705894211
Armenia,20,0.3647241879021072
Armenia,30,0.3417155587470388
Armenia,40,0.3284367400224365
Armenia,50,0.2993558534942673
Australia,10,70.19580338522775
Australia,20,51.07825048409508
Australia,30,42.12558022496415
Australia,40,35.93177980053465
Australia,50,25.65873774899396
Austria,10,4.525449977725106
Austria,20,4.430324522332322
Austria,30,4.344282316643867
Austria,40,4.271447695059162
Austria,50,4.11989201672049
Azerbaijan,10,1.4998208538670126
Azerbaijan,20,1.402747691510975
Azerbaijan,30,1.2725051151428797
Azerbaijan,40,1.1978371259967553
Azerbaijan,50,1.1129157253139648
"Bahamas, The",10,0.3413132335837751
"Bahamas, The",20,0.3137929844240349
"Bahamas, The",30,0.2914922644171906
"Bahamas, The",40,0.2677811865204678
"Bahamas, The",50,0.2451034499255548
Bahrain,10,0.0
Bahrain,20,0.0
Bahrain,30,0.0
Bahrain,40,0.0
Bahrain,50,0.0
Bangladesh,10,2.651751364917459
Bangladesh,20,2.197522395478738
Bangladesh,30,1.9291116962552377
Bangladesh,40,1.8045661104696409
Bangladesh,50,1.5082787312282715
Barbados,10,0.006099691043378
Barbados,20,0.0056124421099161
Barbados,30,0.005295561391826
Barbados,40,0.0049689612097093
Barbados,50,0.0046382862205412
Belarus,10,9.71750741851072
Belarus,20,9.430437395091094
Belarus,30,9.15668270446243
Belarus,40,8.923199022213044
Belarus,50,8.413156029549095
Belgium,10,0.9787014647237912
Belgium,20,0.916358826555466
Belgium,30,0.8662559293441341
Belgium,40,0.8343529540926294
Belgium,50,0.7779168288692296
Belize,10,1.783887076284156
Belize,20,1.7691417052870173
Belize,30,1.7553250558454216
Belize,40,1.7413527428965745
Belize,50,1.7170894811355706
Benin,10,8.978525507417544
Benin,20,1.70462332633696
Benin,30,0.1693673293166799
Benin,40,0.046730542324744
Benin,50,0.0090377058268265
Bhutan,10,2.6781579133981985
Bhutan,20,2.627216930801524
Bhutan,30,2.5759412420343875
Bhutan,40,2.5158717009673084
Bhutan,50,2.365790468208461
Bolivia,10,66.52514088740632
Bolivia,20,65.59842485121241
Bolivia,30,64.56653764980942
Bolivia,40,62.90135141488771
Bolivia,50,57.50813126590632
Bosnia & Herzegovina,10,2.9120025212667047
Bosnia & Herzegovina,20,2.7888592481574084
Bosnia & Herzegovina,30,2.670646623370591
Bosnia & Herzegovina,40,2.59554240571961
Bosnia & Herzegovina,50,2.4850794058705983
Botswana,10,2.642043788490907
Botswana,20,0.2409189834639315
Botswana,30,0.0205591426725815
Botswana,40,0.008122108901946
Botswana,50,0.0013229667303201
Brazil,10,548.4745129821171
Brazil,20,533.3126712831902
Brazil,30,519.4125962039997
Brazil,40,503.6287570104367
Brazil,50,475.3378955315959
Brunei,10,0.5410706649550501
Brunei,20,0.5388729714763454
Brunei,30,0.5365885974656076
Brunei,40,0.5347170557795531
Brunei,50,0.5311636181976227
Bulgaria,10,4.441633187261891
Bulgaria,20,4.298219105149225
Bulgaria,30,4.1144517619878
Bulgaria,40,3.958659004943309
Bulgaria,50,3.8329025723338823
Burkina Faso,10,3.3821995975514616
Burkina Faso,20,0.0163525901708222
Burkina Faso,30,0.00012696892027647732
Burkina Faso,40,2.9292540338134777e-05
Burkina Faso,50,5.876804614257811e-06
Burma,10,44.88369166157402
Burma,20,43.78752745213029
Burma,30,42.66772441720623
Burma,40,41.71717335189354
Burma,50,39.59067935514697
Burundi,10,2.2839018064088394
Burundi,20,1.293251320053673
Burundi,30,0.5366822051745025
Burundi,40,0.3175510539792622
Burundi,50,0.1410707177318337
Cabo Verde,10,0.0111463880802676
Cabo Verde,20,0.0084337247282652
Cabo Verde,30,0.0073542591558555
Cabo Verde,40,0.0071129993371075
Cabo Verde,50,0.0037366388080049
Cambodia,10,10.292989855229663
Cambodia,20,9.484213064101096
Cambodia,30,8.811921866907674
Cambodia,40,8.327958501593345
Cambodia,50,7.491060043854504
Cameroon,10,41.71439182286021
Cameroon,20,36.9435252842927
Cameroon,30,31.428053450627747
Cameroon,40,28.810345756347587
Cameroon,50,25.247377607578667
Canada,10,470.58910977718295
Canada,20,441.38005125883757
Canada,30,417.70445695080025
Canada,40,389.2726370236999
Canada,50,323.6437529292114
Central African Rep,10,60.048535136391735
Central African Rep,20,54.94643036752058
Central African Rep,30,47.07367835559164
Central African Rep,40,41.81942288129241
Central African Rep,50,30.78394677493149
Chad,10,13.103521128305031
Chad,20,1.8864281286651463
Chad,30,0.4087064422485289
Chad,40,0.1219882053456242
Chad,50,0.0072775535768749
Chile,10,19.074887288859134
Chile,20,18.494772605905546
Chile,30,17.817709417438373
Chile,40,17.318133717751753
Chile,50,16.447312973872
China,10,189.9461633179745
China,20,176.86947913231745
China,30,163.01513146939067
China,40,152.09822792412768
China,50,131.52825809998268
Colombia,10,84.43869856468667
Colombia,20,82.91458566146284
Colombia,30,81.78381692766175
Colombia,40,80.63620087734935
Colombia,50,78.28876832312177
Comoros,10,0.1578897384297761
Comoros,20,0.1507743948281532
Comoros,30,0.1344204703695275
Comoros,40,0.1271755002779604
Comoros,50,0.105721424794183
Cook Is,10,0.0
Cook Is,20,0.0
Cook Is,30,0.0
Cook Is,40,0.0
Cook Is,50,0.0
Costa Rica,10,4.103394841833626
Costa Rica,20,3.9939757347977767
Costa Rica,30,3.9126325205856713
Costa Rica,40,3.8323683299393303
Costa Rica,50,3.6828270778223136
Cote d'Ivoire,10,30.962141542701804
Cote d'Ivoire,20,21.68633759119923
Cote d'Ivoire,30,14.891121307397
Cote d'Ivoire,40,11.837578566932452
Cote d'Ivoire,50,6.377687765153452
Croatia,10,2.6529857989352865
Croatia,20,2.536074010777688
Croatia,30,2.4017113960512426
Croatia,40,2.3136176991527297
Croatia,50,2.202800558250423
Cuba,10,4.363204979624317
Cuba,20,4.159091311249117
Cuba,30,3.988957519872256
Cuba,40,3.8216424934659425
