country,1990,2000,2010,2015,2020,2025
Afghanistan,1.209,1.209,1.209,1.209,1.209,1.209
Albania,0.789,0.769,0.782,0.797,0.941,0.941
Algeria,1.715,1.708,1.701,1.698,1.695,1.691
Andorra,0.018,0.017,0.018,0.018,0.018,0.018
Angola,77.533,76.013,70.913,68.363,65.812,63.262
Antigua & Barbuda,0.01,0.009,0.009,0.008,0.008,0.008
Argentina,55.99,53.442,49.727,48.444,47.496,46.598
Armenia,0.335,0.333,0.332,0.334,0.334,0.334
Australia,134.575,132.907,131.171,132.508,133.291,133.562
Austria,3.776,3.838,3.862,3.876,3.89,3.904
Azerbaijan,0.945,0.987,1.032,1.078,1.161,1.214
"Bahamas, The",0.51,0.51,0.51,0.51,0.51,0.51
Bahrain,0.001,0.001,0.001,0.001,0.002,0.004
Bangladesh,1.985,1.92,1.888,1.883,1.878,1.873
Barbados,0.006,0.006,0.006,0.006,0.006,0.006
Belarus,7.78,8.273,8.63,8.634,8.843,8.975
Belgium,0.677,0.667,0.69,0.689,0.671,0.671
Belize,1.58,1.504,1.428,1.39,1.353,1.315
Benin,6.98,5.674,4.264,3.507,3.32,3.133
Bhutan,2.507,2.606,2.705,2.715,2.717,2.675
Bolivia,61.774,59.086,57.5,56.687,55.569,54.37
Bosnia & Herzegovina,2.21,2.112,2.103,2.161,2.157,2.162
Botswana,15.728,15.728,15.728,15.728,15.73,15.73
Brazil,618.443,560.72,525.087,515.509,502.367,486.087
Brunei,0.413,0.397,0.38,0.38,0.38,0.38
Bulgaria,3.327,3.375,3.737,3.833,3.896,3.959
Burkina Faso,8.299,6.378,5.035,4.436,3.836,3.237
Burundi,0.276,0.194,0.194,0.28,0.28,0.28
Cabo Verde,0.034,0.038,0.042,0.045,0.048,0.051
Cambodia,11.005,10.781,10.589,8.847,7.877,6.333
Cameroon,22.5,21.597,20.9,20.62,19.728,19.143
Canada,360.777,360.305,365.431,367.994,368.868,368.819
Central African Rep,46.435,46.085,45.735,45.56,45.327,45.095
Chad,6.73,6.353,5.53,4.89,4.251,3.611
Chile,16.811,17.425,18.038,18.217,18.186,18.162
China,157.141,177.001,200.61,210.294,219.098,227.153
Colombia,65.103,62.57,61.432,60.964,60.123,59.457
Comoros,0.047,0.043,0.037,0.035,0.033,0.033
Rep of the Congo,22.255,22.135,22.015,21.913,21.784,21.854
Cook Is,0.015,0.016,0.016,0.016,0.016,0.016
Costa Rica,2.759,2.849,2.881,2.954,2.972,2.99
Cote d'Ivoire,8.297,6.163,4.998,4.449,4.178,3.774
Croatia,1.85,1.885,1.92,1.922,1.94,1.946
Cuba,2.312,2.699,3.209,3.519,3.611,3.622
Cyprus,0.161,0.172,0.173,0.173,0.173,0.172
Czechia,2.839,2.865,2.88,2.893,2.923,2.968
"Korea, North",7.455,7.455,7.558,7.614,7.671,7.728
Dem Rep of the Congo,160.54,153.79,147.04,142.018,140.604,139.189
Denmark,0.531,0.572,0.586,0.624,0.633,0.643
Djibouti,0.006,0.006,0.006,0.006,0.006,0.006
Dominica,0.059,0.059,0.058,0.058,0.058,0.057
Dominican Republic,2.132,2.166,2.186,2.215,2.224,2.257
Ecuador,14.632,13.731,13.028,12.819,12.461,12.31
Egypt,0.004,0.004,0.004,0.004,0.004,0.004
El Salvador,0.736,0.706,0.676,0.676,0.681,0.685
Equatorial Guinea,2.699,2.616,2.533,2.49,2.448,2.407
Eritrea,1.651,1.592,1.532,1.502,1.472,1.442
Estonia,2.206,2.239,2.336,2.421,2.444,2.447
Swaziland,0.486,0.471,0.456,0.448,0.441,0.433
Ethiopia,28.538,27.809,27.081,26.786,26.767,26.747
Fiji,0.94,1.006,1.067,1.09,1.113,1.137
Finland,21.875,22.446,22.242,22.409,22.543,22.543
France,14.436,15.288,16.419,16.836,17.348,17.795
Gabon,23.774,23.702,23.683,23.623,23.589,23.555
"Gambia, The",0.415,0.358,0.3,0.271,0.242,0.209
Georgia,3.03,3.039,3.101,3.101,3.101,3.101
Germany,11.3,11.354,11.409,11.433,11.457,11.481
Ghana,5.806,6.163,6.521,6.699,6.878,7.056
Greece,3.709,3.709,3.721,4.098,4.763,4.763
Grenada,0.018,0.018,0.018,0.018,0.018,0.018
Guatemala,4.852,4.227,3.756,3.671,3.602,3.536
Guinea,7.202,6.532,5.862,5.527,5.192,4.857
Guinea-Bissau,2.257,2.207,2.163,2.142,2.121,2.1
Guyana,18.602,18.564,18.52,18.461,18.415,18.377
Haiti,0.369,0.384,0.38,0.364,0.365,0.372
Honduras,7.644,7.129,6.745,6.527,6.112,5.861
Hungary,1.814,1.921,2.046,2.061,2.057,2.087
Iceland,0.018,0.032,0.049,0.053,0.057,0.061
India,63.938,67.591,69.496,70.828,72.309,72.739
Indonesia,116.335,91.959,96.305,95.028,95.562,95.969
Iran,10.751,10.751,10.751,10.751,10.751,10.751
Iraq,0.804,0.818,0.804,0.759,0.726,0.693
Ireland,0.462,0.63,0.72,0.755,0.793,0.833
Israel,0.132,0.153,0.154,0.165,0.14,0.15
Italy,7.59,8.369,9.028,8.907,9.36,9.422
Jamaica,0.521,0.521,0.558,0.577,0.597,0.616
Japan,24.95,24.876,24.966,24.944,24.919,24.908
Jordan,0.071,0.071,0.071,0.071,0.071,0.071
Kazakhstan,3.162,3.157,3.082,3.308,3.451,3.521
Kenya,3.741,3.816,3.878,3.384,3.591,3.914
Kiribati,0.001,0.001,0.001,0.001,0.001,0.001
Kuwait,0.003,0.005,0.005,0.006,0.006,0.006
