country,51 Open evergreen broadleaved - 10-20,51 Open evergreen broadleaved - 20-30,51 Open evergreen broadleaved - 30-40,51 Open evergreen broadleaved - 40-50,51 Open evergreen broadleaved - 50-60,51 Open evergreen broadleaved - 60-70,51 Open evergreen broadleaved - 70-80,51 Open evergreen broadleaved - 80-90,51 Open evergreen broadleaved - 90-100,52 Closed evergreen broadleaved - 10-20,52 Closed evergreen broadleaved - 20-30,52 Closed evergreen broadleaved - 30-40,52 Closed evergreen broadleaved - 40-50,52 Closed evergreen broadleaved - 50-60,52 Closed evergreen broadleaved - 60-70,52 Closed evergreen broadleaved - 70-80,52 Closed evergreen broadleaved - 80-90,52 Closed evergreen broadleaved - 90-100,61 Open deciduous broadleaved - 10-20,61 Open deciduous broadleaved - 20-30,61 Open deciduous broadleaved - 30-40,61 Open deciduous broadleaved - 40-50,61 Open deciduous broadleaved - 50-60,61 Open deciduous broadleaved - 60-70,61 Open deciduous broadleaved - 70-80,61 Open deciduous broadleaved - 80-90,61 Open deciduous broadleaved - 90-100,62 Closed deciduous broadleaved - 10-20,62 Closed deciduous broadleaved - 20-30,62 Closed deciduous broadleaved - 30-40,62 Closed deciduous broadleaved - 40-50,62 Closed deciduous broadleaved - 50-60,62 Closed deciduous broadleaved - 60-70,62 Closed deciduous broadleaved - 70-80,62 Closed deciduous broadleaved - 80-90,62 Closed deciduous broadleaved - 90-100,71 Open evergreen needleleaved - 10-20,71 Open evergreen needleleaved - 20-30,71 Open evergreen needleleaved - 30-40,71 Open evergreen needleleaved - 40-50,71 Open evergreen needleleaved - 50-60,71 Open evergreen needleleaved - 60-70,71 Open evergreen needleleaved - 70-80,71 Open evergreen needleleaved - 80-90,71 Open evergreen needleleaved - 90-100,72 Closed evergreen needleleaved - 10-20,72 Closed evergreen needleleaved - 20-30,72 Closed evergreen needleleaved - 30-40,72 Closed evergreen needleleaved - 40-50,72 Closed evergreen needleleaved - 50-60,72 Closed evergreen needleleaved - 60-70,72 Closed evergreen needleleaved - 70-80,72 Closed evergreen needleleaved - 80-90,72 Closed evergreen needleleaved - 90-100,81 Open deciduous needleleaved - 10-20,81 Open deciduous needleleaved - 20-30,81 Open deciduous needleleaved - 30-40,81 Open deciduous needleleaved - 40-50,81 Open deciduous needleleaved - 50-60,81 Open deciduous needleleaved - 60-70,81 Open deciduous needleleaved - 70-80,81 Open deciduous needleleaved - 80-90,81 Open deciduous needleleaved - 90-100,82 Closed deciduous needleleaved - 10-20,82 Closed deciduous needleleaved - 20-30,82 Closed deciduous needleleaved - 30-40,82 Closed deciduous needleleaved - 40-50,82 Closed deciduous needleleaved - 50-60,82 Closed deciduous needleleaved - 60-70,82 Closed deciduous needleleaved - 70-80,82 Closed deciduous needleleaved - 80-90,82 Closed deciduous needleleaved - 90-100,91 Open mixed forest - 10-20,91 Open mixed forest - 20-30,91 Open mixed forest - 30-40,91 Open mixed forest - 40-50,91 Open mixed forest - 50-60,91 Open mixed forest - 60-70,91 Open mixed forest - 70-80,91 Open mixed forest - 80-90,91 Open mixed forest - 90-100,92 Closed mixed forest - 10-20,92 Closed mixed forest - 20-30,92 Closed mixed forest - 30-40,92 Closed mixed forest - 40-50,92 Closed mixed forest - 50-60,92 Closed mixed forest - 60-70,92 Closed mixed forest - 70-80,92 Closed mixed forest - 80-90,92 Closed mixed forest - 90-100
Chad,0.0084924104951366,0.0013096753983463,9.509334462261248e-05,2.5439954207229217e-05,6.644390261101307e-06,2.6548833886863576e-07,8.854461697183069e-08,0.0,0.0,0.0012259915002416,0.0013550402526484,0.0004012127114611595,0.0003413783727602456,7.087667178983477e-05,3.18705282609244e-06,6.193962676093179e-07,3.53600064784132e-07,1.150616562028972e-06,0.0001404978669818732,1.1769798057059688e-05,2.6583499135313104e-07,5.317149245342989e-07,6.201567188668378e-07,0.0,0.0,0.0,0.0,1.3694579845864427,1.130352533305777,0.2805234221113544,0.1132187311726114,0.006827848128618,7.310052854592186e-05,3.8036455748624576e-05,6.2827717002278405e-06,1.3713726332298393e-05,0.0492324686163329,0.0005759326932661679,2.208919875101856e-05,5.124669492317935e-06,8.813605774093958e-07,0.0,0.0,0.0,0.0,8.816435581593397e-08,8.815712959631129e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011759750066175911,2.0355039929282324e-06,0.0,1.7705093569020394e-07,8.843620946663577e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2453934818290319,0.0206215334604323,0.0005305941330699486,6.634332180477246e-05,7.250771716371673e-06,5.29178478814174e-07,2.650597679121347e-07,0.0,1.7591889900359092e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malawi,0.0421706240916319,0.0153383361009768,0.0050404742004638,0.006385892142423,0.004267802605616,0.0008196094145262122,0.0018020616104306,0.0002744516825501364,0.0002177409616450632,0.0017654842335571,0.0058960822981056,0.0075415789434489,0.0318981273175383,0.0592104860883763,0.0137086985236834,0.0191229781885205,0.0045042187016553,0.002213598747196,0.0117885277528335,0.0025050789679401,0.0007053995020206004,0.0016531625798947,0.0010468595982467,0.00019541840623969956,0.0001309933774606975,2.112453389457869e-05,8.103638627687815e-06,1.671365236350956,1.175847172914726,0.5026816538963431,0.4972677713910611,0.1656174254768552,0.0123219942559759,0.0094291760184863,0.0015789405676793,0.0009454133562595154,0.0244057135876989,0.007105874848463,0.0010359883045429,0.0007730338404926432,0.00025262148507465554,1.7936423013509284e-05,1.575067953041298e-05,1.7453857452665034e-06,3.9920009555771685e-06,2.308243385584774e-05,1.7391382932885335e-05,1.1374193597646354e-05,7.169589598987613e-05,9.606318788968338e-05,9.633650847717943e-06,4.90418884879773e-06,2.6264476105097856e-07,9.634360012000798e-07,0.0138883645502188,0.0510595057528596,0.0318241080467575,0.036249681373845,0.0093814258810024,0.000394093072102919,0.00024709917020430234,2.4088481374917592e-05,2.70551447911771e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178597215780956,0.0270855790884039,0.0049786956091072,0.0032571028269928,0.0008129045658443331,7.801408911557603e-05,9.313242769337648e-05,1.220452482186829e-05,1.8040048459511127e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,0.0799713202701634,0.05302409968954,0.0114630126373995,0.0071654738250794,0.0016704183325811,0.00036055843872549856,0.0002637337348048163,2.33301153707655e-05,5.583702605349572e-05,0.00021014258805541772,0.0009162343108738248,0.0008225565984122564,0.0028989837998513,0.0101746046597374,0.0052630376113315,0.0031703851504796,0.0005282332040721371,0.0003092298202629456,0.0326471570586438,0.0037718343014184,0.00036585361940666417,0.00022400172166206456,0.0002558942552894905,7.635358810288755e-05,2.806969986501568e-05,2.838960226843786e-06,3.573757624053542e-06,9.292487206983385,12.233412993319178,5.806801537048132,8.23237649899992,8.056168418677595,0.8885327246455208,0.1871912154379241,0.0126876963711191,0.0139169815897846,0.0323540975587824,0.0078733457467941,0.0007679960965336586,0.00030641343816739663,5.301678945812682e-05,3.2379029732965137e-06,2.363895113433045e-06,1.74525020213423e-07,6.084815495910334e-07,1.798965747212833e-05,4.95524552235338e-06,1.839122596436482e-06,2.88780397283972e-06,3.328780266542708e-06,7.037641651663762e-07,5.254847010860431e-07,8.75863008786837e-08,2.63213976836596e-07,0.0043898022788049,0.0170122199555625,0.013232047565198,0.0157728430341822,0.0024919296735623,5.405317677542598e-05,2.0908819806209067e-05,7.026408894716951e-07,1.3141209507239182e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2789041782485422,0.1005492510363608,0.0161612248640378,0.0075334761065817,0.0012670355686354,0.00035627644098923383,0.00033270996585343937,6.183255284497591e-05,4.15189675777583e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,0.0860923219666208,0.010647095337966,0.0017383926416836,0.0015469960015161,0.0010396166094058,0.0008731271538354078,0.0018520130018989,0.0029199374609981,0.0021612270960088,0.0123842147962348,0.0213400638566018,0.0162380112366713,0.0416482518172592,0.0508552046682702,0.03573145850034,0.0426847416445218,0.0340250968776297,0.013925585096712,0.1737045136115331,0.0057990910422073,0.00078816870069019,0.0008892113377017069,0.0005949676425504938,0.00029668925706865666,0.0002150834559437684,0.00010050111797069434,2.584523633310161e-05,10.543574849709076,2.5805035707464907,0.6229999931064323,0.4135054354502936,0.0807326850646015,0.0151220779774142,0.0074766856303162,0.0031908420129358,0.0014240721849315,0.0201139157426277,0.0025396178268665,0.0004185084490919334,0.0002635230273753285,6.588768749082874e-05,1.0871670667711442e-05,4.233503652528725e-06,6.784692914152401e-07,6.798955638487314e-07,8.55393835763607e-08,1.7119937467668933e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006661011201438615,0.000196458716796144,2.9347506341537155e-05,6.339788122223429e-05,1.646017627621177e-05,1.5271140938466488e-06,1.2690919817259785e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1554263852573141,0.0200308047154579,0.0022051967046172,0.0008402539473417048,0.00020572637557592088,4.442932608128558e-05,4.240942068634013e-05,4.3066354535881146e-05,2.6225774021781945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.004359266686722,0.00014194067458471498,4.011207209941858e-06,1.5904364472623242e-06,2.504757929955304e-07,1.6774285427345606e-07,0.0,0.0,0.0,1.4458589828698937e-05,4.555384364834936e-06,9.0935602514719e-07,2.395562169965615e-06,1.2388630636905873e-06,1.6514901091113646e-07,0.0,0.0,0.0,0.0177891976341309,0.00020199679549915908,4.695153563716303e-06,5.805044622775313e-07,0.0,0.0,0.0,0.0,0.0,1.1639978360837042,0.0635146566336126,0.0047975415037411,0.0019312721608702,0.0001811110247656449,1.1846495354461696e-05,7.416271493809745e-06,4.963162325566373e-07,9.88915367372556e-07,5.0880396671199794e-05,2.562441306434168e-06,5.019794002691924e-07,1.6676111158631104e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.740797031388411e-06,5.5233827989762655e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057067787913866,4.394052927183317e-05,1.5850957026941614e-06,3.299862854078129e-07,2.5016154125978574e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0094886431975645,9.379687764190776e-05,4.205978754612261e-06,3.999917659314178e-06,2.1657949815789834e-06,2.520026711749779e-07,8.40463179940798e-07,8.392380834720825e-08,0.0,3.3702160280313365e-06,3.6984859974609208e-06,2.810872857139657e-06,1.6119885160037484e-06,8.526031081146358e-08,8.524880001914427e-08,8.524916950136686e-08,0.0,0.0,6.018703063404018e-05,2.843651813577708e-06,2.42496270175252e-07,2.562885939028092e-07,2.4944778687086e-07,0.0,8.541295670738691e-08,0.0,8.537961804222506e-08,0.3459550739502909,0.0228899659059671,0.0011171111663544,0.0003853198226606787,8.093144297280266e-05,6.348979233905538e-06,9.715443262336976e-06,5.812833450136168e-07,2.134617716365028e-06,0.0005542808563102783,6.129055543234316e-05,6.195591495838926e-06,3.834163614158115e-06,4.268134219387321e-07,8.5371112845678e-08,1.7077240244134373e-07,0.0,2.561521483812612e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3351972435046656e-06,9.206032257838178e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156818847209325,0.0002290702166335149,1.167135708612932e-05,1.0497918926535244e-05,2.946467539288733e-06,7.542825031237044e-07,1.430970407056975e-06,8.264352402420627e-08,3.414007139213027e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.1998646576886019,0.0574495240624525,0.0122382575639247,0.0118393939044472,0.0135097467735523,0.0065744802114152,0.0038483467367774,0.001075298926796,0.0012076959331238,0.0135820235632282,0.0814222538492677,0.1016153991000309,0.434183241124108,1.330628561285655,1.12703053130794,1.6440973980157023,0.9534724139345516,1.8723794299949656,0.0194517509950021,0.0064451017907134,0.0014819022721355,0.002325752876391,0.0037008043621158,0.0019168419129021,0.0020862763224471,0.0006349593345902349,0.0006478741907599782,11.344059512071782,13.53119812007968,7.719623501428352,13.561156394817411,19.791353026319197,3.920362582789881,0.5841143692285616,0.087921089917821,0.0640932532288071,0.0293394981442507,0.0038225014450077,0.0010287081492919,0.0018359431335926,0.0012585918391684,0.00024803648373961096,0.00012415857201375502,1.544888483806517e-05,3.0146717449497373e-05,1.679986660008126e-06,5.842452758031413e-06,1.0096315364194195e-05,2.6742984175598394e-05,1.7711489554983473e-05,4.07271340918669e-06,3.6357553980792554e-06,8.857421747165972e-07,7.974472566729673e-07,0.0009224544085313368,0.0001704291634467836,0.00017791505753450565,0.000576867001480336,0.0006123289717335216,0.00017702525629686102,0.00014145660129297896,3.6480170429844265e-05,6.362444784618523e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4236457486271468,0.0748755515844778,0.0147640797896472,0.0145500600390762,0.0065141897862254,0.0010512378262106,0.0007722606450964603,0.00013213123266098137,0.00025262036228923535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0.018068255862543,0.0118056456521228,0.00336300260202,0.0044512988601646,0.0028505139733829,0.0005326042340026133,0.0009685557965774054,0.0002343431229582105,0.00012510473929351666,0.0003669813517335536,0.0020090695754614,0.0029119859724131,0.0117302000953415,0.0197103669864754,0.006094958282271,0.0161764124644121,0.0088702324566184,0.0049574119779052,0.0034832158665831,0.0010754422393505,0.0002849785037891557,0.0004651279044543511,0.0003644952349374949,5.374014744611887e-05,4.635086180071294e-05,9.571004709158058e-06,5.267651857820965e-06,0.2956226106514211,0.3752539193744763,0.1299011591556328,0.105965424418513,0.0455904801402223,0.0046458590658468,0.0068486060703995,0.0014582088528842,0.0011878277857042,0.001721562994438,0.0010770201218825,0.0001215943241429134,2.83046434564018e-05,7.095075838798957e-06,1.6061846750403674e-06,2.2310129423885883e-06,5.354043608463144e-07,2.676635304510455e-07,5.354955305847398e-07,5.355897627623563e-07,1.7848280720045298e-07,8.925930217174027e-08,0.0,0.0,0.0,0.0,0.0,2.5705417115773344e-05,2.4557613211166373e-05,1.3195448594068042e-05,1.803187986837429e-05,1.312455316337946e-05,2.7676743812321547e-06,3.124184971170507e-06,2.678317727600188e-07,2.6782061013364e-07,0.0,2.674740855468372e-07,6.241444268084706e-07,2.585733469118168e-06,8.922684671119896e-07,8.924671845988996e-08,8.91672442548952e-08,0.0,0.0,0.0240365939782425,0.0055434508352586,0.0004893432958880896,0.0001816880971245262,3.952203255863651e-05,5.622738186161769e-06,2.3962964812085373e-05,5.176263364603528e-06,4.731524583689861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,0.0080408069556107,0.0090933917060162,0.0041673425780487,0.0042938516231025,0.0024577562205752,0.0006681921767654655,0.0024806917099081,0.0008322466835412781,0.0010286033450685,0.0033861146664363,0.0118040178148316,0.0096791901535272,0.0167268968170621,0.0144156736510757,0.0059911278297174,0.0432056564165794,0.0282384556067847,0.0210527875132785,0.002648328718525,0.0012170993142739,0.0004752382890768615,0.000529332510232487,0.00035848438394004784,7.360618698517302e-05,0.0001351565984838506,4.2628309262032e-05,4.270040865636657e-05,0.1963258854363833,0.1949668370488528,0.0643266178264676,0.0578751641587688,0.0264112519143433,0.0047844918752355,0.0132025120260579,0.0040762659333182,0.007186396496781,0.0009830370844245723,0.0004089396512269468,7.709138850052167e-05,3.313340504116227e-05,1.1371290052585323e-05,8.933454509474359e-07,1.6081746707641289e-06,4.466469718522603e-07,3.573947324753135e-07,1.1617488979709378e-06,1.7872393627271776e-06,8.93667362333872e-08,4.468528018719553e-07,2.680924353626324e-07,8.934805606486408e-08,0.0,8.935526096820469e-08,0.0,7.049747723186783e-05,9.560824805444166e-05,4.160838355836497e-05,3.350638139210105e-05,1.831514207140117e-05,4.109852575595596e-06,1.5815824667697598e-05,5.001087220916013e-06,2.412326182366087e-06,0.0,7.149170357934054e-07,9.829735674315998e-07,1.3403117549160015e-06,1.340157616880333e-06,8.93220075681711e-08,2.679944444139437e-07,1.786389063340721e-07,8.93199825213742e-08,0.0147352611148202,0.0032161042451958,0.0004615608344357335,0.00022167962748453112,7.655962190966648e-05,1.1613794129061716e-05,3.5686226520597835e-05,1.5349899731027822e-05,6.843124842959014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,0.0424974516711177,0.0154849561411087,0.0034804157097099,0.005277269882413,0.005114630539623,0.0037529783707128,0.0029913467251176,0.0036457526766736,0.0045325220115586,0.0973705891896453,0.1015940593341943,0.0600855603254775,0.1789833790156038,0.3004608338836615,0.1901632980854326,0.2420061741942565,0.1642602679084974,0.212633552139231,0.1645145640981937,0.0519544893322409,0.0075324227156358,0.0070311296863081,0.005391177951632,0.0036681527574449,0.0032464873727723,0.0027882919246309,0.0020257828273991,6.708497527174355,2.7263547706435687,0.9322050831231686,1.4319701799983977,0.8512611691935037,0.3692348028152422,0.2672173618374616,0.2050699575965769,0.212635853612469,0.0526211105079923,0.0040352901598824,0.0005842994750224761,0.0004358997683340249,0.0001648263853226695,3.5320669226734935e-05,5.3226610724266266e-05,3.304537798953788e-05,1.6837511005007855e-05,3.1467251915273664e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036093207720106,0.0008368334247104017,0.000135095338038127,8.429345916027842e-05,2.5184358833030277e-05,3.0147858254281346e-06,3.466321338407852e-06,5.381543104476805e-07,1.71368433399266e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338610116217616,0.003155600843409,0.0010157225167169,0.0015599314504672,0.0001763535195213622,8.606986519765769e-05,0.0002913122297433588,0.00018507609991758045,3.909787044165114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
