glc_class,bin,area_Mha,bin_mid
51 Open evergreen broadleaved,10-20,0.04608882052767092,15.0
51 Open evergreen broadleaved,20-30,0.09428982282805574,25.0
51 Open evergreen broadleaved,30-40,0.1943547233250665,35.0
51 Open evergreen broadleaved,40-50,0.3556910844073092,45.0
51 Open evergreen broadleaved,50-60,0.5439688185328688,55.0
51 Open evergreen broadleaved,60-70,0.7002074292428443,65.0
51 Open evergreen broadleaved,70-80,0.6951225884000373,75.0
51 Open evergreen broadleaved,80-90,0.19407406485341502,85.0
51 Open evergreen broadleaved,90-100,0.004111108956762132,95.0
52 Closed evergreen broadleaved,10-20,0.000600884119925015,15.0
52 Closed evergreen broadleaved,20-30,0.0013694283581327333,25.0
52 Closed evergreen broadleaved,30-40,0.004660481664727362,35.0
52 Closed evergreen broadleaved,40-50,0.018431154069875492,45.0
52 Closed evergreen broadleaved,50-60,0.05203107019725875,55.0
52 Closed evergreen broadleaved,60-70,0.02044448972456716,65.0
52 Closed evergreen broadleaved,70-80,0.0030029894231492636,75.0
52 Closed evergreen broadleaved,80-90,0.0003180596482645684,85.0
52 Closed evergreen broadleaved,90-100,9.69300003674789e-05,95.0
61 Open deciduous broadleaved,10-20,0.3395535792873065,15.0
61 Open deciduous broadleaved,20-30,0.4729344624988594,25.0
61 Open deciduous broadleaved,30-40,0.4511073521808141,35.0
61 Open deciduous broadleaved,40-50,0.6386487306565231,45.0
61 Open deciduous broadleaved,50-60,0.7200761067299339,55.0
61 Open deciduous broadleaved,60-70,0.8438056711990153,65.0
61 Open deciduous broadleaved,70-80,0.8225879766479876,75.0
61 Open deciduous broadleaved,80-90,0.2403295413817183,85.0
61 Open deciduous broadleaved,90-100,0.033851362010689,95.0
62 Closed deciduous broadleaved,10-20,0.6472525270420828,15.0
62 Closed deciduous broadleaved,20-30,1.3776596699288333,25.0
62 Closed deciduous broadleaved,30-40,2.561430821122603,35.0
62 Closed deciduous broadleaved,40-50,5.556527159536371,45.0
62 Closed deciduous broadleaved,50-60,9.616473955516588,55.0
62 Closed deciduous broadleaved,60-70,17.18500972573967,65.0
62 Closed deciduous broadleaved,70-80,33.232997568345155,75.0
62 Closed deciduous broadleaved,80-90,15.177966790248256,85.0
62 Closed deciduous broadleaved,90-100,0.3570651825301671,95.0
71 Open evergreen needleleaved,10-20,4.665831039218407,15.0
71 Open evergreen needleleaved,20-30,8.085258534299713,25.0
71 Open evergreen needleleaved,30-40,6.162872194305721,35.0
71 Open evergreen needleleaved,40-50,1.634987418904409,45.0
71 Open evergreen needleleaved,50-60,0.39124369454209584,55.0
71 Open evergreen needleleaved,60-70,0.0954534427148202,65.0
71 Open evergreen needleleaved,70-80,0.03488766577932245,75.0
71 Open evergreen needleleaved,80-90,0.016046365119657565,85.0
71 Open evergreen needleleaved,90-100,0.00773228438225541,95.0
72 Closed evergreen needleleaved,10-20,1.3560256759644624,15.0
72 Closed evergreen needleleaved,20-30,3.7722703180660533,25.0
72 Closed evergreen needleleaved,30-40,8.859427410058254,35.0
72 Closed evergreen needleleaved,40-50,16.01966374308634,45.0
72 Closed evergreen needleleaved,50-60,16.720791734332675,55.0
72 Closed evergreen needleleaved,60-70,16.39771902781373,65.0
72 Closed evergreen needleleaved,70-80,15.490878016375735,75.0
72 Closed evergreen needleleaved,80-90,4.419245021107084,85.0
72 Closed evergreen needleleaved,90-100,0.44324054144510844,95.0
81 Open deciduous needleleaved,10-20,0.13820988405338927,15.0
81 Open deciduous needleleaved,20-30,0.407482528015426,25.0
81 Open deciduous needleleaved,30-40,0.6495517616390352,35.0
81 Open deciduous needleleaved,40-50,1.1159978022309445,45.0
81 Open deciduous needleleaved,50-60,1.8391359323842547,55.0
81 Open deciduous needleleaved,60-70,3.28163713279421,65.0
81 Open deciduous needleleaved,70-80,5.140073169957519,75.0
81 Open deciduous needleleaved,80-90,2.5351095611404615,85.0
81 Open deciduous needleleaved,90-100,0.25627151744215826,95.0
82 Closed deciduous needleleaved,10-20,0.009319371211801455,15.0
82 Closed deciduous needleleaved,20-30,0.029803158818870634,25.0
82 Closed deciduous needleleaved,30-40,0.05954595975515967,35.0
82 Closed deciduous needleleaved,40-50,0.06906696661478486,45.0
82 Closed deciduous needleleaved,50-60,0.08545318832396687,55.0
82 Closed deciduous needleleaved,60-70,0.09926713872927907,65.0
82 Closed deciduous needleleaved,70-80,0.0781308775903242,75.0
82 Closed deciduous needleleaved,80-90,0.01660431641589035,85.0
82 Closed deciduous needleleaved,90-100,0.0032447700123012855,95.0
91 Open mixed forest,10-20,0.08693286421192979,15.0
91 Open mixed forest,20-30,0.09398951965044741,25.0
91 Open mixed forest,30-40,0.11865888539103216,35.0
91 Open mixed forest,40-50,0.09014436069469285,45.0
91 Open mixed forest,50-60,0.05057046548583725,55.0
91 Open mixed forest,60-70,0.03218641494555191,65.0
91 Open mixed forest,70-80,0.014101610524048711,75.0
91 Open mixed forest,80-90,0.003617118366654015,85.0
91 Open mixed forest,90-100,0.0008013600030378503,95.0
92 Closed mixed forest,10-20,0.0,15.0
92 Closed mixed forest,20-30,0.0,25.0
92 Closed mixed forest,30-40,0.0,35.0
92 Closed mixed forest,40-50,0.0,45.0
92 Closed mixed forest,50-60,0.0,55.0
92 Closed mixed forest,60-70,0.0,65.0
92 Closed mixed forest,70-80,0.0,75.0
92 Closed mixed forest,80-90,0.0,85.0
92 Closed mixed forest,90-100,0.0,95.0
