country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%
Afghanistan,10.0,0.4273046467966062,Near East,West Asia,1.209,-0.7816953532033939,53.47920327372346
Afghanistan,20.0,0.2876565348574036,Near East,West Asia,1.209,-0.9213434651425965,63.033142330138816
Afghanistan,30.0,0.2396366953683419,Near East,West Asia,1.209,-0.9693633046316582,66.31838989708822
Afghanistan,40.0,0.1919612607382973,Near East,West Asia,1.209,-1.0170387392617029,69.58007521899118
Afghanistan,50.0,0.1467591339859152,Near East,West Asia,1.209,-1.062240866014085,72.67255071483346
Albania,10.0,0.8515930154907698,Europe,Eastern Europe,0.769,0.0825930154907698,13.966598319938209
Albania,20.0,0.7611004456546243,Europe,Eastern Europe,0.769,-0.007899554345375703,1.3358260597800165
Albania,30.0,0.6529092441807116,Europe,Eastern Europe,0.769,-0.1160907558192884,19.631114635440685
Albania,40.0,0.5934204441450519,Europe,Eastern Europe,0.769,-0.1755795558549481,29.690756721350937
Albania,50.0,0.5373822825876876,Europe,Eastern Europe,0.769,-0.2316177174123124,39.166890852171925
Algeria,10.0,1.714722157987719,Near East,South/East Mediterranean,1.708,0.006722157987719024,0.2304267967423937
Algeria,20.0,1.4398615749623307,Near East,South/East Mediterranean,1.708,-0.26813842503766927,9.191435023970037
Algeria,30.0,1.2552056857575211,Near East,South/East Mediterranean,1.708,-0.45279431424247885,15.521197747014973
Algeria,40.0,1.1304150692137194,Near East,South/East Mediterranean,1.708,-0.5775849307862806,19.798857106737017
Algeria,50.0,0.8996510089250517,Near East,South/East Mediterranean,1.708,-0.8083489910749483,27.709147717688502
Andorra,10.0,0.0208315405835969,Europe,Western Europe,0.017,0.003831540583596898,1325.7925894798952
Andorra,20.0,0.0198687288111269,Europe,Western Europe,0.017,0.0028687288111268992,992.639727033529
Andorra,30.0,0.0190711451611527,Europe,Western Europe,0.017,0.0020711451611526988,716.6592253123524
Andorra,40.0,0.0183898493803496,Europe,Western Europe,0.017,0.0013898493803495976,480.916740605397
Andorra,50.0,0.0169039259161071,Europe,Western Europe,0.017,-9.607408389290112e-05,33.243627644602455
Angola,10.0,97.01306719950075,Africa,Southern Africa,76.013,21.000067199500748,0.3634502217605243
Angola,20.0,72.70029935900743,Africa,Southern Africa,76.013,-3.312700640992574,0.05733323475382049
Angola,30.0,55.29528891348889,Africa,Southern Africa,76.013,-20.717711086511116,0.35856345683226915
Angola,40.0,46.64943571427124,Africa,Southern Africa,76.013,-29.363564285728764,0.5081980857461851
Angola,50.0,31.9477566842792,Africa,Southern Africa,76.013,-44.06524331572081,0.7626414859953846
Antigua & Barbuda,10.0,0.0210149942690483,Americas,Caribbean,0.009,0.0120149942690483,14833.326258084324
Antigua & Barbuda,20.0,0.020051984069902,Americas,Caribbean,0.009,0.011051984069902,13644.424777656792
Antigua & Barbuda,30.0,0.0191981712293265,Americas,Caribbean,0.009,0.0101981712293265,12590.33485102037
Antigua & Barbuda,40.0,0.0181850873640111,Americas,Caribbean,0.009,0.009185087364011102,11339.614029643337
Antigua & Barbuda,50.0,0.017128657370137,Americas,Caribbean,0.009,0.008128657370137,10035.379469304939
Argentina,10.0,43.526131903287656,Americas,South America,53.442,-9.915868096712344,0.34718850330355877
Argentina,20.0,41.64014311864562,Americas,South America,53.442,-11.801856881354382,0.4132234300493338
Argentina,30.0,39.19875243953757,Americas,South America,53.442,-14.243247560462429,0.4987048793376533
Argentina,40.0,35.534607184966134,Americas,South America,53.442,-17.907392815033866,0.6269991541720757
Argentina,50.0,23.15532289191849,Americas,South America,53.442,-30.28667710808151,1.0604402955581205
Armenia,10.0,0.3904352705894211,Europe,Eastern Europe,0.333,0.057435270589421106,51.795282299796284
Armenia,20.0,0.3647241879021072,Europe,Eastern Europe,0.333,0.03172418790210718,28.60895841977759
Armenia,30.0,0.3417155587470388,Europe,Eastern Europe,0.333,0.008715558747038776,7.859714441503464
Armenia,40.0,0.3284367400224365,Europe,Eastern Europe,0.333,-0.004563259977563516,4.115160185017013
Armenia,50.0,0.2993558534942673,Europe,Eastern Europe,0.333,-0.03364414650573272,30.340382279335838
Australia,10.0,70.19580338522775,Asia and the Pacific,Pacific Region,132.907,-62.71119661477226,0.35501718616569333
Australia,20.0,51.07825048409508,Asia and the Pacific,Pacific Region,132.907,-81.82874951590493,0.4632444279296488
