region,threshold,region_total_forest_area,FAO_2000_Mha,deviation_Mha,deviation_%
Africa,10,1025.5639202044051,730.724,294.8399202044051,40.34901278792062
Africa,20,742.2456593930663,730.724,11.521659393066216,1.5767457197336088
Africa,30,574.4809138674581,730.724,-156.24308613254198,21.38195626974644
Africa,40,501.86944568623005,730.724,-228.85455431377,31.318877485038122
Africa,50,390.54405946531244,730.724,-340.1799405346876,46.55382066754172
Americas,10,1880.3362778408837,1714.388,165.94827784088375,9.679738649645458
Americas,20,1800.2033455659603,1714.388,85.81534556596034,5.005596490757071
Americas,30,1731.696473984617,1714.388,17.308473984616967,1.0096007429249951
Americas,40,1656.0572830082183,1714.388,-58.33071699178163,3.402422146665844
Americas,50,1498.7887574136698,1714.388,-215.5992425863301,12.575872123832536
Asia and the Pacific,10,759.1567338915652,704.436,54.720733891565146,7.768020642267735
Asia and the Pacific,20,710.8855099672098,704.436,6.449509967209792,0.9155565540673378
Asia and the Pacific,30,672.76750237797,704.436,-31.66849762203003,4.495581943857218
Asia and the Pacific,40,644.2690559605246,704.436,-60.166944039475425,8.541151224451252
Asia and the Pacific,50,591.4244853114947,704.436,-113.01151468850537,16.042836352557984
Europe,10,1110.154331342738,1009.326,100.82833134273801,9.98966947673378
Europe,20,1027.4123465905018,1009.326,18.086346590501762,1.7919231834414018
Europe,30,964.3267034254088,1009.326,-44.9992965745912,4.458351075330587
Europe,40,897.5934305800365,1009.326,-111.73256941996351,11.070017954552197
Europe,50,779.471144002945,1009.326,-229.85485599705498,22.77310363520359
Near East,10,30.70276854269579,60.208,-29.50523145730421,49.00550002874072
Near East,20,26.270953818120688,60.208,-33.93704618187931,56.36634032334459
Near East,30,22.098656192889827,60.208,-38.10934380711017,63.29614637109715
Near East,40,20.21881354435373,60.208,-39.98918645564627,66.41839366138433
Near East,50,17.09433083631319,60.208,-43.11366916368681,71.60787464072351
