state,threshold,area_Mha
Alabama,10,9.616855050682208
Alabama,20,9.385398146683052
Alabama,30,9.125928835993736
Alabama,40,8.899154762598442
Alabama,50,8.682461738402635
Alaska,10,56.799190403515446
Alaska,20,52.74503682498567
Alaska,30,50.205782947801055
Alaska,40,46.13034874419581
Alaska,50,37.0396199620025
Arizona,10,2.9618800065161395
Arizona,20,2.416421331447429
Arizona,30,1.863393535942408
Arizona,40,1.5158838424915786
Arizona,50,1.192493640741687
Arkansas,10,8.149205571474514
Arkansas,20,7.931670153475966
Arkansas,30,7.718343763803895
Arkansas,40,7.521118872947055
Arkansas,50,7.337972128825222
California,10,12.99608492080683
California,20,11.124684371179898
California,30,9.903538830035211
California,40,9.037234642170093
California,50,8.072230198827153
Colorado,10,6.122682502291583
Colorado,20,5.420017529761668
Colorado,30,4.808458217273347
Colorado,40,4.375382836706173
Colorado,50,3.722765045062471
Connecticut,10,1.069834219807042
Connecticut,20,1.0340604689873754
Connecticut,30,1.004127058906235
Connecticut,40,0.9629587470650652
Connecticut,50,0.9302026972064412
Delaware,10,0.2000479820547439
Delaware,20,0.1828979710032112
Delaware,30,0.1701939158075138
Delaware,40,0.1589021607668991
Delaware,50,0.1511790609322867
Florida,10,8.578770712633082
Florida,20,7.984326676070053
Florida,30,7.456015031171761
Florida,40,6.966817158585657
Florida,50,6.355811568578116
Georgia,10,10.50886199060552
Georgia,20,10.217300706133102
Georgia,30,9.91472210738829
Georgia,40,9.569198959396669
Georgia,50,9.24151028514746
Hawaii,10,0.7497841209643987
Hawaii,20,0.7032980514658359
Hawaii,30,0.663828268068614
Hawaii,40,0.6269218381602324
Hawaii,50,0.5815740620211204
Idaho,10,8.284597455368134
Idaho,20,7.724890585728574
Idaho,30,7.274549181000771
Idaho,40,6.942026726136032
Idaho,50,6.417787236396184
Illinois,10,2.576582393081377
Illinois,20,2.37838377985191
Illinois,30,2.2179450257465274
Illinois,40,2.0850412233645885
Illinois,50,1.9751987444964911
Indiana,10,2.395583635886488
Indiana,20,2.2487100116811587
Indiana,30,2.131492181965052
Indiana,40,2.0370525888402526
Indiana,50,1.957394609098976
Iowa,10,1.469363167413402
Iowa,20,1.315773884080213
Iowa,30,1.1928363249304743
Iowa,40,1.1057416900739134
Iowa,50,1.0245406298221191
Kansas,10,1.2999411329495536
Kansas,20,1.0922073882502985
Kansas,30,0.9088714854176464
Kansas,40,0.7830757145062583
Kansas,50,0.6951061765341184
Kentucky,10,5.866034866590988
Kentucky,20,5.654159363362262
Kentucky,30,5.463003739070168
Kentucky,40,5.32112376631904
Kentucky,50,5.201653079080983
Louisiana,10,6.832427455826261
Louisiana,20,6.5657950239159
Louisiana,30,6.326096776901849
Louisiana,40,6.122640567207004
Louisiana,50,5.884898399476286
Maine,10,7.397530805972077
Maine,20,7.323478698403238
Maine,30,7.259673261552772
Maine,40,7.189675998717423
Maine,50,7.066708801758698
Maryland,10,1.4005625379454758
Maryland,20,1.3201574336842343
Maryland,30,1.2480016530617033
Maryland,40,1.172621831401705
Maryland,50,1.1178595402668725
Massachusetts,10,1.6942098706031663
Massachusetts,20,1.6277886719361567
